Location,Area,Bedrooms,Bathrooms,Parking,Floor,Age_of_Property,Furnished_Status,Price
Malad,2824,1,1,1.0,25.0,7.0,Semi-Furnished,22413845.800921157
Powai,665,5,5,2.0,13.0,4.0,Semi-Furnished,8562359.886696113
Dadar,3373,2,2,1.0,16.0,6.0,Unfurnished,39113732.83293652
Lower Parel,1320,3,3,1.0,0.0,15.0,Furnished,20712913.775971
Vikhroli,3830,5,5,1.0,24.0,,Furnished,34278763.81193863
Goregaon,739,4,5,1.0,1.0,36.0,Semi-Furnished,6444049.027194134
Dadar,788,3,4,2.0,6.0,3.0,Unfurnished,9376204.17147804
Thane,3024,4,4,1.0,9.0,35.0,Semi-Furnished,22088113.95340685
Malad,2450,5,4,1.0,19.0,16.0,Unfurnished,20596465.346998915
Mulund,3900,3,2,,6.0,35.0,Unfurnished,24664755.187344298
Juhu,1565,3,3,0.0,23.0,5.0,Unfurnished,31947210.616649725
Malad,775,3,4,1.0,15.0,15.0,Unfurnished,6757643.219927552
Vikhroli,2433,3,3,1.0,4.0,28.0,Unfurnished,16300566.135603601
Vikhroli,2771,3,3,1.0,,35.0,Furnished,21768976.633916013
Goregaon,545,2,2,0.0,27.0,37.0,Unfurnished,3626351.424097088
Thane,2381,2,2,1.0,11.0,36.0,Semi-Furnished,13705303.455413753
Powai,692,2,2,1.0,16.0,9.0,Unfurnished,8188549.550097167
Goregaon,831,1,1,1.0,15.0,,Furnished,6519346.698926712
Goregaon,1104,2,3,2.0,19.0,28.0,Semi-Furnished,8583143.798788413
Juhu,3396,1,1,1.0,25.0,13.0,Semi-Furnished,53034898.476161435
Borivali,2398,3,2,0.0,15.0,3.0,Semi-Furnished,20098629.88062279
Thane,3032,2,3,0.0,18.0,35.0,Furnished,20495149.867976677
Bandra,798,4,3,2.0,25.0,12.0,Semi-Furnished,11063225.343118107
Goregaon,3264,1,2,0.0,14.0,17.0,Unfurnished,28163854.03599735
Kurla,3815,2,3,1.0,11.0,32.0,Semi-Furnished,23761489.39499997
Worli,1363,3,3,1.0,20.0,20.0,Furnished,24284973.624852702
Borivali,3611,3,3,1.0,9.0,15.0,Unfurnished,22923527.160691973
Bandra,2634,1,1,0.0,28.0,14.0,Furnished,36900064.645803176
Kurla,2441,4,5,1.0,25.0,4.0,Furnished,20460273.86478366
Thane,2228,4,4,1.0,28.0,5.0,Semi-Furnished,19590440.56559836
Andheri,2508,2,2,2.0,21.0,37.0,Unfurnished,17928885.601145223
Kurla,1338,2,3,0.0,1.0,2.0,Semi-Furnished,8737383.801129842
Mulund,3851,5,6,1.0,6.0,11.0,Semi-Furnished,33383298.3375909
Borivali,1109,3,4,,12.0,,Semi-Furnished,7455367.997262912
Dadar,1206,3,3,1.0,2.0,32.0,Semi-Furnished,13475398.100532597
Kurla,1863,4,5,,14.0,35.0,Furnished,12849718.088184288
Kandivali,3790,2,2,1.0,0.0,32.0,Unfurnished,24489282.293977726
Andheri,1725,2,3,1.0,25.0,30.0,Unfurnished,15930566.417896833
Vikhroli,3815,2,2,,2.0,20.0,Semi-Furnished,23873315.456643123
Vikhroli,410,3,3,1.0,24.0,26.0,Semi-Furnished,3228951.3258792795
Lower Parel,1485,3,3,1.0,9.0,26.0,Unfurnished,15848088.305431701
Mulund,2268,3,3,0.0,26.0,7.0,Semi-Furnished,20146260.98808961
Kurla,2673,2,2,0.0,26.0,36.0,Furnished,20240765.739575237
Kurla,3624,2,2,0.0,14.0,31.0,Furnished,23775479.662416264
Lower Parel,3011,3,3,0.0,21.0,25.0,Semi-Furnished,41888249.63690791
Worli,1171,3,3,1.0,26.0,1.0,Unfurnished,17462210.460708126
Worli,1994,3,4,2.0,5.0,11.0,Furnished,33077915.160624675
Lower Parel,2007,1,1,1.0,19.0,21.0,Furnished,22557271.25095987
Worli,1733,4,3,1.0,14.0,16.0,Semi-Furnished,26300708.30427733
Juhu,1284,1,1,0.0,23.0,6.0,Unfurnished,21041357.528639223
Kurla,3714,5,4,1.0,20.0,3.0,Furnished,36038639.03421399
Malad,3964,1,1,0.0,6.0,36.0,Furnished,30974863.294385504
Powai,1789,3,2,,24.0,37.0,Semi-Furnished,17782141.07153459
Kandivali,3801,1,1,1.0,28.0,31.0,Semi-Furnished,26126232.354710814
Juhu,3578,4,5,2.0,28.0,10.0,Furnished,60521873.86126187
Thane,625,3,4,2.0,29.0,0.0,Furnished,6211316.422097777
Juhu,1224,2,2,1.0,20.0,24.0,Semi-Furnished,19808572.394416936
Malad,2665,2,3,1.0,26.0,23.0,Semi-Furnished,17693097.35881131
Thane,1336,2,1,0.0,29.0,16.0,Unfurnished,9557805.555870883
Kandivali,3200,2,2,1.0,4.0,7.0,Semi-Furnished,24780323.8656035
Malad,2953,4,4,2.0,29.0,26.0,Furnished,24308600.69001485
Bandra,2706,2,2,0.0,3.0,17.0,Semi-Furnished,39847496.78252986
Powai,2311,3,3,2.0,21.0,26.0,Semi-Furnished,22971135.352915004
Kandivali,3988,3,3,1.0,17.0,21.0,Furnished,28154573.256714467
Kurla,2196,3,3,2.0,2.0,15.0,Unfurnished,14036277.026040044
Worli,453,2,2,2.0,16.0,1.0,Unfurnished,6797776.194636632
Bandra,3518,2,1,,17.0,4.0,Furnished,65469779.48097524
Mulund,1126,3,2,1.0,17.0,17.0,Furnished,9625456.826358609
Kandivali,3136,5,4,1.0,23.0,2.0,Furnished,31656218.284984645
Mulund,1944,2,2,2.0,23.0,26.0,Furnished,16260047.326126387
Thane,3570,2,2,,1.0,16.0,Semi-Furnished,22626680.793164395
Bandra,1443,3,2,1.0,12.0,15.0,Semi-Furnished,23455903.01941623
Powai,2313,5,6,1.0,,5.0,Unfurnished,30062937.792316627
Kurla,2176,2,2,1.0,21.0,6.0,Furnished,19753552.596756138
Lower Parel,1996,2,1,2.0,14.0,,Semi-Furnished,27960998.62950303
Kurla,2314,4,4,1.0,4.0,37.0,Unfurnished,12740936.366262332
Malad,3961,1,1,2.0,2.0,39.0,Semi-Furnished,24907386.038759857
Kurla,2866,1,1,1.0,4.0,14.0,Furnished,17529853.989572033
Dadar,3137,3,3,0.0,4.0,32.0,Furnished,37800722.76033875
Goregaon,1249,4,4,1.0,4.0,26.0,Semi-Furnished,11557176.727053894
Lower Parel,2509,2,1,1.0,2.0,28.0,Unfurnished,23770619.89163812
Juhu,3616,3,3,0.0,2.0,36.0,Unfurnished,56015613.55681372
Worli,2663,3,2,0.0,19.0,4.0,Unfurnished,41754284.30211951
Andheri,402,3,2,1.0,22.0,28.0,Unfurnished,3163881.7384412945
Powai,559,3,3,0.0,27.0,31.0,Semi-Furnished,5990050.048700956
Bandra,1180,3,3,1.0,27.0,5.0,Unfurnished,17443225.430925693
Goregaon,3591,2,2,1.0,27.0,1.0,Unfurnished,33060795.584233366
Powai,1292,3,3,2.0,29.0,5.0,Semi-Furnished,15792169.67216708
Bandra,2430,3,3,1.0,17.0,3.0,Furnished,44654422.61038984
Worli,3560,3,2,2.0,25.0,28.0,Semi-Furnished,45917138.775537595
Borivali,2776,4,3,1.0,19.0,24.0,Furnished,21484886.707746446
Borivali,979,1,2,1.0,3.0,8.0,Furnished,8168340.493711519
Mulund,2333,4,4,1.0,0.0,2.0,Unfurnished,18273356.385777663
Powai,1780,4,5,1.0,25.0,25.0,Unfurnished,19275937.406172406
Borivali,1690,2,2,1.0,15.0,,Furnished,13414032.881976927
Dadar,2040,3,3,0.0,7.0,35.0,Semi-Furnished,21281633.483733423
Lower Parel,1351,2,2,1.0,16.0,31.0,Unfurnished,17461940.319947682
Bandra,3794,2,2,0.0,7.0,0.0,Semi-Furnished,60164729.42126754
